dataset,model,pr(Y=1|S=0),DP,"t(P(S=1), DP)",I_v(X_to_S)
census_income,sgd_lr,0.05,0.0193816557463761,4.171592324327818e-05,0.2245198366626446
census_income,mlp_one_layer,0.05,0.0602496838058664,0.0004031399703602,0.3961388166063415
census_income,mlp_two_layer,0.05,0.0680918588546077,0.0005149259776907,0.371009604212749
census_income,sgd_lr,0.0699999999999999,0.0147821903972784,2.4265901320161727e-05,0.2260320669230413
census_income,mlp_one_layer,0.0699999999999999,0.049289900846004,0.000269806579447,0.4072006022069783
census_income,mlp_two_layer,0.0699999999999999,0.0443276148312119,0.0002182135090156,0.3999606496840325
census_income,sgd_lr,0.0899999999999999,0.0030827017094356,1.0553102765221345e-06,0.2257203604589876
census_income,mlp_one_layer,0.0899999999999999,0.0431256694601819,0.0002065398034445,0.3942586645153185
census_income,mlp_two_layer,0.0899999999999999,0.026544051626527,7.824510614821666e-05,0.3605464296218544
census_income,sgd_lr,0.1099999999999999,0.0014270776324117,2.261581792315189e-07,0.22617209864137
census_income,mlp_one_layer,0.1099999999999999,0.0275621406826939,8.436243200371675e-05,0.4126165595400164
census_income,mlp_two_layer,0.1099999999999999,0.0403867810978586,0.0001811376373034,0.3839364334665477
census_income,sgd_lr,0.13,0.0098939972543851,1.0870798441807968e-05,0.2351431371553825
census_income,mlp_one_layer,0.13,0.0196554019003242,4.290264340710052e-05,0.4094001149017415
census_income,mlp_two_layer,0.13,0.0096121487850093,1.026027018588356e-05,0.3765887444124886
census_income,sgd_lr,0.15,0.0198320221850568,4.367714576841044e-05,0.2326691465573399
census_income,mlp_one_layer,0.15,0.0050281236973871,2.8075609572862736e-06,0.4146261520822034
census_income,mlp_two_layer,0.15,0.0018962985157984,3.993286992277124e-07,0.3739722772087225
census_income,sgd_lr,0.17,0.0294996132290937,9.663995854556536e-05,0.245280065079787
census_income,mlp_one_layer,0.17,0.0123829877874156,1.702821825794685e-05,0.4276798522330501
census_income,mlp_two_layer,0.17,0.0036365128042062,1.468545588079857e-06,0.3944017924004759
census_income,sgd_lr,0.1899999999999999,0.0458747494142382,0.0002337122302678,0.243531055589795
census_income,mlp_one_layer,0.1899999999999999,0.0427617786773556,0.0002030688599891,0.4253367966385812
census_income,mlp_two_layer,0.1899999999999999,0.0694970755227522,0.000536400332383,0.4162002951785382
census_income,sgd_lr,0.2099999999999999,0.0502144820480207,0.0002800240694716,0.2471802003548518
census_income,mlp_one_layer,0.2099999999999999,0.0660717324992534,0.0004848234620015,0.4272397592707483
census_income,mlp_two_layer,0.2099999999999999,0.063227921700039,0.0004439837661712,0.4174087464066501
census_income,sgd_lr,0.2299999999999999,0.0660426355048557,0.0004843965036142,0.2505966822556
census_income,mlp_one_layer,0.2299999999999999,0.0768326775044053,0.0006556265939293,0.4321309282329943
census_income,mlp_two_layer,0.2299999999999999,0.0955544786440291,0.0010141278776764,0.4133175990566652
census_income,sgd_lr,0.25,0.0862919014554612,0.00082702213524,0.2556294159620374
census_income,mlp_one_layer,0.25,0.0965312917536773,0.0010349714607099,0.4406407827685364
census_income,mlp_two_layer,0.25,0.1100938034103104,0.0013462957437372,0.4299103752753091
census_income,sgd_lr,0.27,0.1067256352164337,0.0012651625642539,0.2588756226591786
census_income,mlp_one_layer,0.27,0.1309735721834772,0.0019055600646691,0.4498222590677231
census_income,mlp_two_layer,0.27,0.1536307035969185,0.0026221850834448,0.4349121783017855
census_income,sgd_lr,0.29,0.1397695783025088,0.0021702002562019,0.2614391977587182
census_income,mlp_one_layer,0.29,0.1568513994584188,0.0027333306203307,0.452146991753226
census_income,mlp_two_layer,0.29,0.1565977816981434,0.002724494533483,0.4299679397513101
census_income,sgd_lr,0.31,0.1430930563666363,0.0022746742030564,0.2638989610881619
census_income,mlp_one_layer,0.31,0.1840159151896502,0.0037627111141482,0.4571926210135001
census_income,mlp_two_layer,0.31,0.1620174153919533,0.0029164333866309,0.4234692617715352
census_income,sgd_lr,0.3299999999999999,0.1533122163552626,0.0026113196629462,0.2735948903189895
census_income,mlp_one_layer,0.3299999999999999,0.2035291443852992,0.0046036722347329,0.4630850092485284
census_income,mlp_two_layer,0.3299999999999999,0.2190070128342714,0.0053311398728858,0.4473817298927796
census_income,sgd_lr,0.35,0.1807505291984007,0.003630275984493,0.2813001287435193
census_income,mlp_one_layer,0.35,0.2258173401780063,0.0056681730498683,0.4634309679088672
census_income,mlp_two_layer,0.35,0.2138752406489598,0.0050840182489942,0.4441759622400168
census_income,sgd_lr,0.37,0.2063346857575563,0.0047315665676951,0.2820665429885278
census_income,mlp_one_layer,0.37,0.2584950993731152,0.0074295276290946,0.4655343644333125
census_income,mlp_two_layer,0.37,0.2604970337372261,0.0075451964378156,0.4428204965414064
census_income,sgd_lr,0.39,0.21130797869142,0.0049625974507905,0.2821574747944837
census_income,mlp_one_layer,0.39,0.2683609168763586,0.0080082422123849,0.4718825042534588
census_income,mlp_two_layer,0.39,0.2459904239804076,0.0067273173477811,0.4539011451764761
census_income,sgd_lr,0.41,0.2485943756681862,0.006870661183861,0.2923953541680862
census_income,mlp_one_layer,0.41,0.2988400439869099,0.0099338220249413,0.4855786154317277
census_income,mlp_two_layer,0.41,0.275876706199851,0.0084637312881085,0.4536171552854963
census_income,sgd_lr,0.43,0.2705922639703791,0.0081421511388895,0.2893334504499175
census_income,mlp_one_layer,0.43,0.3222148672901882,0.0115517495308901,0.484278324518972
census_income,mlp_two_layer,0.43,0.2975288957104609,0.0098467009892145,0.4516702274125195
census_income,sgd_lr,0.4499999999999999,0.3030883070848889,0.0102187529397474,0.2956293265737778
census_income,mlp_one_layer,0.4499999999999999,0.356470539675357,0.0141446720660351,0.4765197503512515
census_income,mlp_two_layer,0.4499999999999999,0.3246842390091327,0.0117298376588104,0.4667436096318877
census_income,sgd_lr,0.47,0.3114679866816279,0.0107926515425222,0.3146920309095071
census_income,mlp_one_layer,0.47,0.376358207951276,0.0157712833079372,0.4988180892218895
census_income,mlp_two_layer,0.47,0.3739800000203832,0.015572074346386,0.4626051275780578
census_income,sgd_lr,0.49,0.3320883284872314,0.0122720273587647,0.3140214922633264
census_income,mlp_one_layer,0.49,0.3813382273356835,0.0161925661232578,0.4988852775977984
census_income,mlp_two_layer,0.49,0.4003219014248864,0.017849854639289,0.476474194982265
census_income,sgd_lr,0.51,0.3642187992062788,0.014767798478308,0.3215782907754431
census_income,mlp_one_layer,0.51,0.4314238876641992,0.0207412838092035,0.5060486393450688
census_income,mlp_two_layer,0.51,0.4353910157042236,0.0211258553949932,0.4786478672891515
census_income,sgd_lr,0.53,0.4039751793974934,0.0181781349195612,0.3181751643434987
census_income,mlp_one_layer,0.53,0.4548146098505811,0.0230603394652523,0.504569138494101
census_income,mlp_two_layer,0.53,0.4715623506294836,0.024797178491369,0.4661726939811857
census_income,sgd_lr,0.55,0.4082093780988809,0.0185623937492017,0.3354965367597244
census_income,mlp_one_layer,0.55,0.4559125500279758,0.0231722479073346,0.5206022455173193
census_income,mlp_two_layer,0.55,0.4525909064503604,0.022834526284613,0.4872278171906979
census_income,sgd_lr,0.5700000000000001,0.4232136942379797,0.0199567276848927,0.3358385076200575
census_income,mlp_one_layer,0.5700000000000001,0.4799310233071511,0.0256889872160278,0.5196445690914179
census_income,mlp_two_layer,0.5700000000000001,0.4922607090698032,0.0270319938998527,0.4886718873123258
census_income,sgd_lr,0.5900000000000001,0.4460507072455082,0.0221768934810722,0.3430896055138877
census_income,mlp_one_layer,0.5900000000000001,0.502679318508644,0.0281938861149141,0.5251843750936108
census_income,mlp_two_layer,0.5900000000000001,0.485807698932227,0.0263247768120481,0.4975855937964806
census_income,sgd_lr,0.61,0.4868166155558341,0.0264347223179211,0.3478398932019944
census_income,mlp_one_layer,0.61,0.5293054124486216,0.0312760349255604,0.5374982296915704
census_income,mlp_two_layer,0.61,0.5223944431365235,0.0304604459851382,0.4846398936641158
census_income,sgd_lr,0.63,0.5035713885330324,0.0282945230941593,0.3652898094621411
census_income,mlp_one_layer,0.63,0.5525866259818325,0.034104168606932,0.5513891543401553
census_income,mlp_two_layer,0.63,0.5815759462128555,0.0377999615693293,0.4926265385800445
census_income,sgd_lr,0.65,0.5323747122149285,0.0316417652656528,0.360329658530919
census_income,mlp_one_layer,0.65,0.5768865400667142,0.0371889868583802,0.5506723338719103
census_income,mlp_two_layer,0.65,0.575127216543807,0.0369610762968843,0.5209328360819586
census_income,sgd_lr,0.6699999999999999,0.5470018375439896,0.0334143962594487,0.374950733856784
census_income,mlp_one_layer,0.6699999999999999,0.5842664754724057,0.038152797350956,0.5639505690297959
census_income,mlp_two_layer,0.6699999999999999,0.6075804040150795,0.0412802435004942,0.5211554502389351
census_income,sgd_lr,0.69,0.574987133115437,0.0369429599519034,0.38221955787503
census_income,mlp_one_layer,0.69,0.5971361117650715,0.0398636503725863,0.5689363586924069
census_income,mlp_two_layer,0.69,0.6101232061524601,0.0416289554892075,0.5246575387794785
census_income,sgd_lr,0.71,0.599547391411138,0.0401884584772102,0.3944744785487756
census_income,mlp_one_layer,0.71,0.6492704858637527,0.047186926369823,0.5832488289240034
census_income,mlp_two_layer,0.71,0.6535004040966123,0.0478088180233605,0.5552449652297813
census_income,sgd_lr,0.73,0.6000136057749635,0.0402514144330383,0.4048870777117809
census_income,mlp_one_layer,0.73,0.6389509896545151,0.0456872236443599,0.5902964265505839
census_income,mlp_two_layer,0.73,0.653557629884193,0.0478172600843897,0.5464817631305381
census_income,sgd_lr,0.75,0.6199789849378465,0.0429947098918383,0.3961624385508838
census_income,mlp_one_layer,0.75,0.6546959287648504,0.0479853428834082,0.588865568597057
census_income,mlp_two_layer,0.75,0.6585342860433285,0.048554348333248,0.5529141266502596
census_income,sgd_lr,0.77,0.6406084991760098,0.0459264331870627,0.4164218395935928
census_income,mlp_one_layer,0.77,0.6763257986895651,0.0512367394042063,0.5983821000738437
census_income,mlp_two_layer,0.77,0.6336604834279622,0.0449279811768003,0.5432804788375681
census_income,sgd_lr,0.79,0.6543160371830032,0.0479292139620455,0.4246893757342435
census_income,mlp_one_layer,0.79,0.705426767808023,0.0557840334624822,0.6147265889758543
census_income,mlp_two_layer,0.79,0.6857795701390439,0.0526921959231904,0.5637391373291609
census_income,sgd_lr,0.81,0.6749232318352713,0.0510225897972808,0.4418664957606579
census_income,mlp_one_layer,0.81,0.7243920970321066,0.0588546728744946,0.6253194448059517
census_income,mlp_two_layer,0.81,0.6931295422650405,0.0538382360680533,0.5922717298932398
census_income,sgd_lr,0.83,0.6830061832387043,0.0522630487033996,0.4520076307126125
census_income,mlp_one_layer,0.83,0.7360903627289413,0.0607910142684635,0.6312393687678134
census_income,mlp_two_layer,0.83,0.7369288759387731,0.0609310499779454,0.5633156410918065
census_income,sgd_lr,0.85,0.6967222821827536,0.054403044457526,0.4606237645359545
census_income,mlp_one_layer,0.85,0.7488832053778991,0.0629455715907156,0.6334421167762714
census_income,mlp_two_layer,0.85,0.7228995384228104,0.0586099427749577,0.5683325365485433
census_income,sgd_lr,0.87,0.7004771193669799,0.0549965753154631,0.4699339934966681
census_income,mlp_one_layer,0.87,0.7586343165161878,0.0646138826704511,0.6554784258865876
census_income,mlp_two_layer,0.87,0.7333741506582239,0.0603385350736012,0.557188887088254
census_income,sgd_lr,0.89,0.7154918309296464,0.057403097375109,0.4943054718913188
census_income,mlp_one_layer,0.89,0.7716116269755127,0.066869174219279,0.6674682406667986
census_income,mlp_two_layer,0.89,0.7215391647582912,0.0583873443367111,0.5730262012616706
census_income,sgd_lr,0.91,0.7082737380006747,0.0562395783692002,0.50483930828456
census_income,mlp_one_layer,0.91,0.7751957549982114,0.0674991074461599,0.6760126667175864
census_income,mlp_two_layer,0.91,0.7788952008813688,0.0681525161324039,0.6260049758566474
census_income,sgd_lr,0.93,0.7219956461520117,0.0584619898986083,0.526436383172697
census_income,mlp_one_layer,0.93,0.7948111549009836,0.0710008644059697,0.6914057484676809
census_income,mlp_two_layer,0.93,0.7914206671212117,0.070389028621178,0.591440690661363
census_income,sgd_lr,0.95,0.7180089502558599,0.0578117294512231,0.5407049921570506
census_income,mlp_one_layer,0.95,0.8042006683645858,0.0727096068059365,0.7041743465552958
census_income,mlp_two_layer,0.95,0.7890944872661158,0.0699708421374015,0.6219027220100574
dutch_census,sgd_lr,0.05,0.3769437058427992,0.0177939141792013,0.1866952119820277
dutch_census,mlp_one_layer,0.05,0.4228045120889583,0.0223985940295876,0.2324304071967446
dutch_census,mlp_two_layer,0.05,0.4099219405454167,0.02105128372373,0.2296954528297153
dutch_census,sgd_lr,0.0699999999999999,0.3722727627383579,0.0173548060408718,0.1781351816171248
dutch_census,mlp_one_layer,0.0699999999999999,0.404666033704782,0.0205136867873514,0.224146592433248
dutch_census,mlp_two_layer,0.0699999999999999,0.416212766367807,0.0217039444572369,0.2160577946393223
dutch_census,sgd_lr,0.0899999999999999,0.357022720876959,0.0159595781723487,0.1616421375798671
dutch_census,mlp_one_layer,0.0899999999999999,0.384567302170919,0.0185224524067678,0.2083471848152897
dutch_census,mlp_two_layer,0.0899999999999999,0.400687885793337,0.0201114394450378,0.1984601522977551
dutch_census,sgd_lr,0.1099999999999999,0.3451621373071416,0.0149150750364637,0.1585640954014253
dutch_census,mlp_one_layer,0.1099999999999999,0.376005221497209,0.0177052457216829,0.2054253319618904
dutch_census,mlp_two_layer,0.1099999999999999,0.3897962511473529,0.0190306535197864,0.1997101821728748
dutch_census,sgd_lr,0.13,0.3403496106232395,0.014501390235133,0.1516283975257644
dutch_census,mlp_one_layer,0.13,0.3713055671715458,0.0172645710608057,0.195898382735789
dutch_census,mlp_two_layer,0.13,0.3655418443036499,0.0167317463923765,0.1804645535775748
dutch_census,sgd_lr,0.15,0.3270894098112598,0.0133917828226263,0.1438448262394713
dutch_census,mlp_one_layer,0.15,0.3597266165732565,0.0162026708743811,0.181447802386099
dutch_census,mlp_two_layer,0.15,0.3573882958158764,0.0159923370521151,0.1875516330135346
dutch_census,sgd_lr,0.17,0.3138660294967252,0.0123294204016081,0.1345720231851891
dutch_census,mlp_one_layer,0.17,0.3489309782241824,0.0152431272901496,0.1802154957077149
dutch_census,mlp_two_layer,0.17,0.3551606557204588,0.015793243981015,0.1792553568013263
dutch_census,sgd_lr,0.1899999999999999,0.3077468134927836,0.011852722155519,0.1326710886303584
dutch_census,mlp_one_layer,0.1899999999999999,0.3235077397562308,0.0130996788669041,0.1640184146063994
dutch_census,mlp_two_layer,0.1899999999999999,0.3287579481865467,0.0135289655672205,0.1750553186278057
dutch_census,sgd_lr,0.2099999999999999,0.3024801673403941,0.0114499951720658,0.1280820431768881
dutch_census,mlp_one_layer,0.2099999999999999,0.3216458937693582,0.0129491134777274,0.1714602091847723
dutch_census,mlp_two_layer,0.2099999999999999,0.3207440107515852,0.0128764934601069,0.1684216578980453
dutch_census,sgd_lr,0.2299999999999999,0.2814550057904615,0.0099118577314066,0.1150825964671913
dutch_census,mlp_one_layer,0.2299999999999999,0.3052824701995058,0.0116634102400313,0.1633287999975767
dutch_census,mlp_two_layer,0.2299999999999999,0.2994602290410277,0.0112222200974205,0.1564113270881059
dutch_census,sgd_lr,0.25,0.2631874364956004,0.0086657700892251,0.1093910913321436
dutch_census,mlp_one_layer,0.25,0.279282158101956,0.0097592424886112,0.1633177208452198
dutch_census,mlp_two_layer,0.25,0.28493235110273,0.010158569572089,0.1650338472201385
dutch_census,sgd_lr,0.27,0.2539674085996901,0.008068707369056,0.1056961812847405
dutch_census,mlp_one_layer,0.27,0.2857553330545495,0.0102174040943175,0.1562713944524695
dutch_census,mlp_two_layer,0.27,0.2679879088499818,0.0089850954126089,0.1468718974550265
dutch_census,sgd_lr,0.29,0.2377657322150422,0.0070712843420147,0.1037301948209564
dutch_census,mlp_one_layer,0.29,0.2602124279699019,0.008470781856142,0.1540638320917669
dutch_census,mlp_two_layer,0.29,0.2578041921013019,0.0083145706092194,0.1457046260252856
dutch_census,sgd_lr,0.31,0.2240514119345752,0.0062785134729042,0.0959554910552715
dutch_census,mlp_one_layer,0.31,0.2325420433096717,0.0067637551956286,0.1482285856410008
dutch_census,mlp_two_layer,0.31,0.2329275626847052,0.0067862173064244,0.1435948693668911
dutch_census,sgd_lr,0.3299999999999999,0.2179387710194631,0.005940378456262,0.0994705136812502
dutch_census,mlp_one_layer,0.3299999999999999,0.2395081307548465,0.0071753870158188,0.1483062509903996
dutch_census,mlp_two_layer,0.3299999999999999,0.2371932611476247,0.0070372474647588,0.1425794510252338
dutch_census,sgd_lr,0.35,0.2061849230583105,0.0053165362991735,0.091131364682561
dutch_census,mlp_one_layer,0.35,0.2257394564067227,0.0063735442127647,0.1372066429077402
dutch_census,mlp_two_layer,0.35,0.2338879639930601,0.0068423369449709,0.1320972030139414
dutch_census,sgd_lr,0.37,0.1943298187291843,0.0047224259659153,0.0887298428472765
dutch_census,mlp_one_layer,0.37,0.2153913624373065,0.0058022309331244,0.1346011646976782
dutch_census,mlp_two_layer,0.37,0.1933584589394469,0.0046753092504274,0.1317293339452835
dutch_census,sgd_lr,0.39,0.1730640089280939,0.0037450064098972,0.0835987319790887
dutch_census,mlp_one_layer,0.39,0.1951499514758444,0.0047623914874923,0.130568121901498
dutch_census,mlp_two_layer,0.39,0.175485833313608,0.0038505988046735,0.1213872955490529
dutch_census,sgd_lr,0.41,0.16602143128287,0.0034462987589332,0.0744276106950906
dutch_census,mlp_one_layer,0.41,0.1701992427251025,0.0036219992053361,0.1297767929070506
dutch_census,mlp_two_layer,0.41,0.1734319947329154,0.0037609560197599,0.1269818555270952
dutch_census,sgd_lr,0.43,0.1336198318705952,0.0022320699985334,0.0760069178911406
dutch_census,mlp_one_layer,0.43,0.1232620944375624,0.0018993674286157,0.1233081698084481
dutch_census,mlp_two_layer,0.43,0.1390832923486129,0.0024183819444181,0.1187659864149106
dutch_census,sgd_lr,0.4499999999999999,0.1356502193011294,0.0023004366097459,0.0737364649929579
dutch_census,mlp_one_layer,0.4499999999999999,0.1212420079795277,0.0018376092099107,0.1352953785846735
dutch_census,mlp_two_layer,0.4499999999999999,0.1437215791785346,0.0025824198429996,0.1297120831668204
dutch_census,sgd_lr,0.47,0.1189624246823574,0.0017691441729849,0.0737331401567901
dutch_census,mlp_one_layer,0.47,0.1166420758344445,0.0017007903799459,0.1331524389623252
dutch_census,mlp_two_layer,0.47,0.1084363649752908,0.0014698704556854,0.1251541986936595
dutch_census,sgd_lr,0.49,0.1021933181317279,0.0013054679727049,0.0686843694429102
dutch_census,mlp_one_layer,0.49,0.0821029150437155,0.0008425894625462,0.1167975020685002
dutch_census,mlp_two_layer,0.49,0.0965372075510072,0.0011649409160133,0.1152262189768496
dutch_census,sgd_lr,0.51,0.0899395442499094,0.0010111332059273,0.071856323490198
dutch_census,mlp_one_layer,0.51,0.0896561579213601,0.0010047706683354,0.1161188973744987
dutch_census,mlp_two_layer,0.51,0.0799966949220151,0.0007999095793541,0.1185314361217163
dutch_census,sgd_lr,0.53,0.0807852672422938,0.000815759060604,0.0640486139224696
dutch_census,mlp_one_layer,0.53,0.0774440262687948,0.0007496701701636,0.1166284711513453
dutch_census,mlp_two_layer,0.53,0.0767591211823938,0.0007364677492714,0.1054188025781794
dutch_census,sgd_lr,0.55,0.0549648934090433,0.0003776132280272,0.0598062415484818
dutch_census,mlp_one_layer,0.55,0.0619285699883138,0.000479361814135,0.100024911312408
dutch_census,mlp_two_layer,0.55,0.0544077642155612,0.0003699966663268,0.1115603200032518
dutch_census,sgd_lr,0.5700000000000001,0.039128572793685,0.0001913618856593,0.059781664510093
dutch_census,mlp_one_layer,0.5700000000000001,0.0420875819365653,0.0002213995975077,0.1084373666015937
dutch_census,mlp_two_layer,0.5700000000000001,0.0351488906948466,0.0001544147880216,0.1097576542770313
dutch_census,sgd_lr,0.5900000000000001,0.0266661494263454,8.887571259658943e-05,0.0645450537173418
dutch_census,mlp_one_layer,0.5900000000000001,0.0329363733037366,0.0001355864490617,0.1201096136590084
dutch_census,mlp_two_layer,0.5900000000000001,0.0302234916527055,0.0001141702553111,0.1121641756552069
dutch_census,sgd_lr,0.61,0.0178754748309982,3.9936986383676485e-05,0.0608695979312129
dutch_census,mlp_one_layer,0.61,0.0170597254768911,3.637508534763213e-05,0.1076735761132428
dutch_census,mlp_two_layer,0.61,0.0144667296121836,2.615773767118103e-05,0.1109157203586573
dutch_census,sgd_lr,0.63,0.0044668961811007,2.493848267513957e-06,0.0587083170335058
dutch_census,mlp_one_layer,0.63,0.0002272789038714,6.4561920546002906e-09,0.0989305880024193
dutch_census,mlp_two_layer,0.63,0.0057538602346517,4.1378715488212284e-06,0.1018109135674664
dutch_census,sgd_lr,0.65,0.0054441735507846,3.7044376523846735e-06,0.0558119578487957
dutch_census,mlp_one_layer,0.65,0.0064854484517419,5.257005915189329e-06,0.1087227195711033
dutch_census,mlp_two_layer,0.65,0.0085995586800378,9.242957649760936e-06,0.1057414325730447
dutch_census,sgd_lr,0.6699999999999999,0.0181834081578442,4.13247997783181e-05,0.0559918652274814
dutch_census,mlp_one_layer,0.6699999999999999,0.0240788519719568,7.246582494596841e-05,0.1001646582184242
dutch_census,mlp_two_layer,0.6699999999999999,0.0237950273041521,7.076752708763726e-05,0.1024176317800024
dutch_census,sgd_lr,0.69,0.0281650505098323,9.914801957866248e-05,0.0604415277467433
dutch_census,mlp_one_layer,0.69,0.0306186544913554,0.000117175293385,0.1036191443695179
dutch_census,mlp_two_layer,0.69,0.0306059426529519,0.000117078017812,0.1099047122057969
dutch_census,sgd_lr,0.71,0.0380158485941144,0.000180632664258,0.0535974995194325
dutch_census,mlp_one_layer,0.71,0.0522322864915238,0.000340998702806,0.1032147156704757
dutch_census,mlp_two_layer,0.71,0.0406785404004141,0.0002068230300467,0.1081442340475184
dutch_census,sgd_lr,0.73,0.0535023744837459,0.0003577845441208,0.0622790117333083
dutch_census,mlp_one_layer,0.73,0.0615362563548232,0.0004733072785609,0.1050019054148446
dutch_census,mlp_two_layer,0.73,0.0543790529943393,0.0003696062555179,0.112903288736856
dutch_census,sgd_lr,0.75,0.0624552346035528,0.0004875502857823,0.0572397749457389
dutch_census,mlp_one_layer,0.75,0.0721927219903407,0.0006514430788377,0.1121543341241229
dutch_census,mlp_two_layer,0.75,0.0798588372262242,0.0007971547545378,0.1039069764911244
dutch_census,sgd_lr,0.77,0.073907066817806,0.0006827521639135,0.0636853938768359
dutch_census,mlp_one_layer,0.77,0.0839290363812814,0.0008804915116177,0.1160488812387473
dutch_census,mlp_two_layer,0.77,0.081040599858504,0.0008209243118589,0.1078125057232383
dutch_census,sgd_lr,0.79,0.0780774264926986,0.0007619841855917,0.0596359228336501
dutch_census,mlp_one_layer,0.79,0.086206647151803,0.000928933334105,0.1002729481751883
dutch_census,mlp_two_layer,0.79,0.0927190534677456,0.0010746030070331,0.1055607513713325
dutch_census,sgd_lr,0.81,0.0867252024908189,0.0009401436676162,0.0616090665851163
dutch_census,mlp_one_layer,0.81,0.1136357260519923,0.0016142318533739,0.1183287066916122
dutch_census,mlp_two_layer,0.81,0.0977163401477554,0.0011935763439633,0.115587422896687
dutch_census,sgd_lr,0.83,0.1047245081614386,0.0013709481859809,0.0665978798277844
dutch_census,mlp_one_layer,0.83,0.1214605200982932,0.0018442403135979,0.1175702691002619
dutch_census,mlp_two_layer,0.83,0.1229771739216196,0.0018905949514345,0.1291788056017614
dutch_census,sgd_lr,0.85,0.1137992265942179,0.0016188811871037,0.0605746727446455
dutch_census,mlp_one_layer,0.85,0.1319100896053106,0.0021753004874953,0.1145677519140362
dutch_census,mlp_two_layer,0.85,0.126639060060368,0.0020048890938606,0.1168387149377261
dutch_census,sgd_lr,0.87,0.1203508642735097,0.0018106897568938,0.0679818557691862
dutch_census,mlp_one_layer,0.87,0.1503646105925558,0.0028267406061597,0.1235753498999961
dutch_census,mlp_two_layer,0.87,0.1405414278813573,0.0024693699122329,0.1165099554157992
dutch_census,sgd_lr,0.89,0.1358084597722915,0.0023058081884771,0.0716502035753617
dutch_census,mlp_one_layer,0.89,0.1574006131489502,0.0030975663000305,0.1225410089969364
dutch_census,mlp_two_layer,0.89,0.1534080000420806,0.0029423632713331,0.1333819773631111
dutch_census,sgd_lr,0.91,0.1374009462867843,0.002360215209232,0.0688536775058718
dutch_census,mlp_one_layer,0.91,0.1639456757394125,0.0033606277583595,0.119662513646907
dutch_census,mlp_two_layer,0.91,0.158523857490648,0.0031419493424003,0.13004860570039
dutch_census,sgd_lr,0.93,0.1523441506694755,0.0029016824122801,0.076605683293295
dutch_census,mlp_one_layer,0.93,0.1812780482330982,0.004109103388357,0.1373663353246911
dutch_census,mlp_two_layer,0.93,0.1715114112858331,0.0036780857862048,0.1397852845425355
dutch_census,sgd_lr,0.95,0.1615400699063444,0.0032626935194839,0.0792984519507817
